iter	Passed	Remaining
904	618301	6213763
905	619091	6214147
906	619805	6213771
907	620576	6213966
908	621168	6212367
909	622007	6213244
910	622719	6212844
911	623453	6212654
912	624063	6211239
913	625231	6215371
914	627111	6226565
915	628340	6231274
916	629782	6238079
917	630532	6238015
918	631158	6236728
919	631888	6236464
920	632555	6235580
921	633291	6235377
922	633941	6234327
923	635186	6239126
924	636001	6239692
925	636660	6238722
926	637366	6238218
927	638054	6237530
928	638831	6237721
929	639539	6237231
930	640176	6236043
931	641511	6241657
932	643879	6257291
933	644820	6259041
934	645643	6259633
935	646248	6258116
936	646776	6255852
937	647403	6254555
938	648424	6257052
939	649156	6256766
940	649839	6256004
941	650503	6255053
942	651223	6254648
943	652098	6255726
944	652924	6256325
945	653590	6255397
946	654337	6255245
947	655160	6255818
948	655673	6253426
949	656366	6252754
950	657084	6252325
951	657857	6252408
952	658726	6253404
953	659463	6253155
954	660149	6252409
955	660865	6251949
956	662110	6256494
957	663839	6265589
958	664815	6267563
959	665677	6268460
960	666476	6268766
961	667298	6269273
962	668082	6269427
963	668885	6269756
964	669504	6268367
965	670274	6268384
966	670936	6267394
967	671703	6267378
968	672199	6264841
969	672780	6263100
970	673421	6261918
971	674207	6262082
972	674943	6261787
973	675650	6261212
974	677250	6268906
975	678650	6274738
976	679346	6274050
977	680052	6273451
978	680952	6274637
979	681429	6271934
980	682127	6271260
981	682898	6271258
982	683664	6271213
983	684298	6269952
984	685062	6269885
985	685716	6268814
986	686387	6267894
987	687007	6266510
988	687975	6268298
989	688485	6265909
990	689197	6265371
991	690049	6266099
992	690783	6265744
993	691507	6265308
994	692261	6265144
995	693228	6266899
996	694071	6267529
997	694696	6266191
998	695308	6264737
999	695941	6263477
1000	696604	6262478
1001	697350	6262236
1002	697979	6260934
1003	698700	6260469
1004	699414	6259936
1005	700103	6259176
1006	700919	6259555
1007	701687	6259498
1008	702978	6264099
1009	703790	6264429
1010	704464	6263534
1011	705250	6263626
1012	705791	6261545
1013	706420	6260250
1014	707454	6262544
1015	708985	6269219
1016	709756	6269165
1017	710425	6268211
1018	710998	6266417
1019	712458	6272424
1020	714273	6281551
1021	715058	6281602
1022	715936	6282465
1023	716865	6283777
1024	717621	6283561
1025	718551	6284872
1026	719384	6285329
1027	720069	6284500
1028	720808	6284132
1029	721635	6284536
1030	722554	6285730
1031	723453	6286752
1032	724379	6288005
1033	725322	6289399
1034	726112	6289463
1035	726900	6289512
1036	727633	6289086
1037	728355	6288554
1038	729079	6288046
1039	729714	6286772
1040	730415	6286066
